,text
1049,"Finn says Right?! And ""Animal Quackers""!"
1050,"Ice King says I've been mailing them my short stories and comics for as long as I can remember. But, uh, nary a piece published. Nary a piece. Suddenly angry. Nary a piece! I hate Ble! Sittin' in their ivory towers! They don't know comedy! They don't understand the common folk! The busy woman on the go!"
1051,Ice King and Finn says Together The average Joe or Josephine! Right!
1052,"Ice King says See? We got the goods, you and I, and they've lost their touch. Hey, if we want them to touch our goods, we should go down there and confront them face-to-face."
1053,"Finn says And if I get my winning caption printed, everybody will know it's funny! I'm talking about you, BMO. But, uh, where do they print Ble?"
1054,"Ice King says Oh, yeah. I don't, uh... Oh! Oh! Yeah, hold this. I'll use my... demonic wishing eye!"
1055,The two of them are transported to a strange dimension with fluffy clouds and rainbows.
1056,"Wishy says Hello, Ice King."
1057,"Ice King says Hello, Wishy!"
1058,Wishy says What do you like to wish for?
1059,Ice King says I wish to go to Ble!
1060,"Wishy says You go, girl!"
1061,Wishy fires a beam of magic at Finn and Ice King. They scream as they are transported to the Ble headquarters.
1062,Finn says Whoa. Why don't you just use that thing all the time?
1063,"Ice King says Oh, it takes a piece of your soul each time you use it. But look! The legendary Bledquarters!"
1064,"Finn says It must be so fun to work here, just sittin' around, making up jokes all day."
1065,They approach the bridge leading to the front door.
1066,Pudding Troll says Hey! Hey.
1067,Finn says Aww. Who are you?
1068,"Pudding Troll says I'm a pudding troll, and I guard this humor magazine."
1069,"Finn says Uhhhh, why?"
1070,Pudding Troll says It's... my job.
1071,Finn says Why is this your job?
1072,Pudding Troll says I... applied? I'm maybe not following you. I think I better escort you off the premises.
1073,"Finn says No! No, no, no. We just want to pitch a cartoon caption!"
1074,"Pudding Troll says Speaking to the second face on his belly. Hey, Big Tina, it's your time to shine, okay?"
1075,The Pudding Troll shoots a blast of pudding at Finn and Ice King. They both scream. Finn pushes back against the pudding but is swept off his feet.
1076,Finn says Waahh!
1077,Ice King is rapidly trying to eat the pudding as Finn washes up beside him.
1078,"Finn says Okay, what's our plan here?"
1079,"Ice King says Maybe if we eat all this ammo, he'll be forced to make more for us."
1080,Finn says Wait. You can fly!
1081,"Pudding Troll says Uh-oh! Angle up, Big Tina!"
1082,Ice King is carrying Finn through the air. He laughs before being taken out by a blast of pudding. Finn falls towards the Pudding Troll.
1083,Pudding Troll says Uh-oh! Ugh!
1084,Finn tackles the Pudding Troll to the ground and pins him.
1085,"Pudding Troll says You win. Fine. I've never let anyone inside before, so I hope you have an amazing pitch."
1086,The Pudding Troll opens the front door and a pile of letters spills out onto the street.
1087,Ice King says Hey! These are all my submissions! They kept them in a big pile by the door... Seems like a good sign!
1088,They enter the building. Dozens of long-dead skeletons are sat at the desks and strewn across the floor.
1089,"Finn says Well, shoot, man. Looks like everyone here is crazy dead."
1090,"Pudding Troll says I've been guarding dead people for five hundred years. Wow, I need to sit with that."
1091,"Finn says This means that Ble Magazine is dead, too! He sits on a skeletons lap at one of the desks. Now how am I supposed to prove my caption's funny."
1092,Ice King says Ding dong! I found Ble 217! We can see what the winning caption was.
1093,"Finn says Reading ""I'm going to write you a prescription for one giant club."" Scoffs"
1094,Ice King says It's about time us young guns took the reins.
1095,"Ice King throws a monitor out the window then blows on a conch shell. The sound reaches the Ice Kingdom, where a large group of penguins hear it and make their way to the Ble headquarters, quacking as they go. They burst through the front door of the building, scattering Ice King's submissions."
1096,"Ice King says Hello, boys. Now let's roll these presses one last time."
1097,"A montage plays. The penguins are seen working at desks and helping to organise Ice King's submissions. Finn and the Pudding Troll work on new comics. Finn draws ""Hat Dog"" and adds a second hat, which they are both satisfied with. The penguins operate the presses, and with a hiss, the new issue of the magazine is produced. Finn staples the spine."
1098,Finn says Our very own Ble Magazine.
1099,"Ice King says And it's a pretty good issue, too. We got that nice cover you did, my short story, ""Fionna and Cake says Baby Detectives"", some, looks like, pudding jokes..."
1100,Pudding Troll says Big Tina wrote those!
1101,"Ice King says ...""Fionna and Cake says Baby Detectives Go to College"", and, of course, your caption!"
1102,Finn says Wow. It looks amazing in print.
1103,"Pudding Troll says Guys, I'm gonna be honest, just speaking as an average Josephine, I really don't get that caption."
1104,Finn says Maybe it doesn't matter if my caption is funny or not. I think I just wanted to be part of Ble. It's something I've been a fan of for so long. And maybe we can bring it back. There's no reason it can't have a new dawn. A Blennaissance!
1105,"Ice King says Okay, boys, close her down!"
1106,"The penguins begin violently destroying all the computers and presses, and set fire to the building."
1107,"Finn says Shouting over the destruction No, you're right. Can't be nostalgic!"
1108,The scene changes. Finn is walking back towards the Tree Fort.
1109,"Finn says Man, that caption was amazing in my head. Maybe I'm not a very funny person. Like, I got low comedy stats. That's kind of a bummer."
1110,"BMO is in the treasure room, humming to himself and drawing a picture on the side of Neptr. Finn enters."
1111,"Finn says Yo, BMO. Check it out! I got Ble to publish my caption, even though I don't need you to think I'm funny anymo-"
1112,"Finn comedically slips on four banana peels in a row, slides across the room screaming, rips his pants, trips over a pile of treasure, flies through the air, and slams face first into the massage chair, which tips over and activates while Finn is stuck upside down in his underwear. BMO and Neptr both laugh uncontrollably. Finn smiles."
1113,"The episode opens at Joshua and Margaret's old office, picking up where The First Investigation ended. Finn and Clock Bear are stood outside, and Finn is on the phone."
1114,"Finn says Hey, Kim Kil Whan. We solved the mystery of the haunted office. It was Clockbear the whole time... Yeah, uh, Jake's around here somewhere."
1115,Jake is in the alleyway around the back of the house.
1116,"Jake says Man, it's crazy to think I was born here. In this alley. Popped right out of my dad's head for some reason. Jake suddenly notices that Warren Ampersand is standing right next to him. Yaah! You scared me there, what with the appearing out of thin air and staring at me all creepy and now you're just reaching towards me."
1117,Warren Ampersand touches Jake's shoulder. Jake turns blue.
1118,"Warren Ampersand says Coughs Let's go, son. Laughs menacingly as he shapeshifts in preparation to create a portal."
1119,Jake says Son? I ain't nobody's son but Joshua and Margaret! Though it is weird that you got exactly the same stretchy power as me.
1120,"Warren Ampersand says Laughs It's not weird. It's fate! We have to leave, like - He shoots out a bunch of lasers which form a portal right now!"
1121,"Jake says Wait, can Finn come with us? We're kind of a package deal."
1122,"Warren Ampersand says Oh, that's kind of a bad idea. Our home world's atmosphere is, uh, poisonous to his kind."
1123,Jake says Well then I'd better write him a note. He takes out a pen and some paper and writes a note.
1124,Warren Ampersand says Destiny calls!
1125,Jake says Whoa!
1126,"Warren grabs Jake and pulls him through the portal. Jake drops the note onto the ground, leaving it behind as the portal closes."
1127,Finn says From off screen Jake?
1128,The scene changes. Jake and Warren are flying through the portal together.
1129,"Jake says Who are you, anyway?"
1130,Warren Ampersand says My name is Warren Ampersand. I'm your alien bio-dad! Heh-heh. He sweats slightly as he laughs.
1131,Jake says Why do you keep laughing?
1132,Warren Ampersand says Laughs I'm nervous.
1133,Jake and Warren emerge out the other end of the portal onto Nerraw.
1134,Warren Ampersand says Laughs and then grunts and coughs as they land. Welcome to your home planet - Nerraw.
1135,"Jake says Great fantasy sci-fi vibe, man. And that black hole really adds an extra dimension to the place."
1136,"Warren Ampersand says Years ago, I left this beautiful planet and traveled to Ooo to implant my destiny-rich, stretchy DNA into a compatible host."
1137,"Jake says That explains a lot, actually."
1138,Warren Ampersand says But now I'm dying.
1139,Jake says What?
1140,Warren Ampersand says I used the last of my strength coughs to bring you home.
1141,"The scene changes. Jake and Warren are walking through the ""city"" on Nerraw."
1142,Alien says Gasps He's here!
1143,Jake says Huh?
1144,Aliens says Gasping and whispering indistinctly to each other. Is that Jake? It's really him! Did you see him? Look over there. Look. That's Jake!
1145,"Jake says Warren, how does everyone know me?"
1146,Warren Ampersand says Because you're the most important person to have ever lived. Behold! The Jakeseum!
1147,They enter the museum.
1148,Jake says A museum? All about me?!
1149,Aliens says Gasping It's Jake! Jake! Jake! It's Jake!
1150,Alien 1 says Will you sign my prophecy book?
1151,Alien 2 says Will you sign my pretzel?
1152,"Jake says This is wild. But it feels so right, you know? Gasps when he notices some pictures on the wall Hey! It's my fifth birthday party. And my graduation. And when I put a snail in my mouth. And when a snail put me in its mouth. And... The final picture depicts Jake fighting a monster No. I don't remember this one."
1153,"Warren Ampersand says Laughs That's an artist's interpretation of the great prophecy. Tomorrow, you are prophesied to battle Ixcano, a monster with tentacles stretching across the galaxy to strangle everything. You alone can banish him to the darkness."
1154,The scene changes. Warren and Jake are walking outside again.
1155,"Warren Ampersand says I've researched your world and created the ideal child room. See? They enter a bedroom. Space stuff, dinosaurs, and cowboys."
1156,"Jake says Cool. But you know it's a little late to try connecting with me, right? Gasps Is that clown cake for me? He shrinks himself and excitedly begins eating the cake."
1157,"Warren Ampersand says Chuckles I got you something else, too. He holds up a wrapped present."
1158,"Jake gasps, unwraps the present, and gasps again. It's a belt inscribed with the words ""Galaxy Saviour""."
1159,Warren Ampersand says What do you think of your old dad's present?
1160,"Jake says Wearing the belt I love it! Still never gonna call you dad, though."
1161,"Warren Ampersand says Oh, I wouldn't dream of asking. But I hope you don't mind if I still wear this. He is wearing a matching belt inscribed with ""Proud Pop""."
1162,"Scene changes. Warren and Jake are walking through a cheering crowd of aliens towards a door, wearing their belts. Jake blows kisses at the crowd."
1163,"Aliens says Cheering Good luck, Jake! Savior us!"
1164,Warren Ampersand says Laughs This is the Sacred Temple of Pannishment. The temple door can only be unlocked by a stretchy dog.
1165,Jake says With key ha-a-a-a-a... He trails off as he sees the door Uh...
1166,"Warren Ampersand says Beyond this door, there lies an ancient, awesome weapon called the Panzark."
1167,Jake says I am so ready for this. This must be why I can stretch.
1168,"Warren Ampersand says Yeah, that totally tracks."
1169,Jake says Hup!
1170,"Jake enters the complicated series of tubes on the front of the door, laughing and grunting as he fills them with his body. The belts begin to glow."
1171,Jake says Struggling This is so complicated and rewarding.
1172,"Warren Ampersand says You're doing great, son!"
1173,Jake says Almost there. Grunting
1174,Aliens says Chanting Jake! Jake! Jake! Jake! Jake! Jake! Jake! Jake!
1175,"Jake sighs with relief as he reaches the top of the door. The door creaks and swings open. The crowd cheers, and Jake laughs weakly."
1176,Warren Ampersand says The Panzark!
1177,"Jake says Grunting, he picks up the Panzark and carries it outside. Yay!"
1178,Scene changes to night. Jake is lying in the bedroom. He looks decrepit and old.
1179,Jake says Moans Saving the galaxy's exhausting. I'm dying... for a soft pretzel with mustard. Groans
1180,"Jake flops onto the floor and slithers like a pancake towards a curtained doorway that reads ""private""."
1181,"Jake says Reading ""Pri-tzels""! Oh. ""Pri-vate""."
1182,"Warren Ampersand says From behind curtain Hello, there, you handsome young devil. Have we met? Jake slithers through the curtain and sees Warren talking to himself in a mirror. Oh wait, it's just me! I didn't recognize this smooth, young skin or these vigorous kneecaps."
1183,"Jake withdraws from the room quietly, a little creeped out. The scene changes to daytime. Jake is snoring in his bed, and is suddenly awoken by Warren energetically placing a lap tray on top of him."
1184,Jake says Oof!
1185,"Warren Ampersand says Removing lid from the lap tray It's another clown cake, with a side of cocktail hot dogs."
1186,"Jake says Dude, weren't you, like, dying?"
1187,"Warren Ampersand says Ignoring him Shush, son! He bats the clown cake to the floor and points out the window. Ixcano approacheth!"
1188,There is a rumbling and growling as tentacles appear on the horizon. There is screaming as they begin to grab aliens.
1189,"Jake says Oh, dang."
1190,Warren Ampersand says I'll go grab the Panzark.
1191,"Warren smashes out the side of the building with great energy, carrying Jake and the Panzark. He places them both down."
1192,Jake says So how do I-
1193,Warren Ampersand says You just gotta stretch through the convolutions of the Panzark to activate its kill beam.
1194,"Jake says More stretching, huh? He grunts as he enters the Panzark. Here comes the hero."
1195,"Warren Ampersand says Stretch, baby! Stretch!"
1196,Jake continues to stretch through the tubes of the Panzark. His belt glows brightly. The Panzark lights up and fires a beam at Ixcano. The aliens cheer.
1197,"Warren Ampersand says You're doing it, son!"
1198,Jake says Ugh. This is too much.
1199,More lasers are fired at Ixcano as Jake struggles through the tubes. He tires out and the tube he's in shatters. The Panzark deactivates.
1200,Warren Ampersand says Jake!
1201,Aliens says Jake! Jake! Ja-
1202,"The aliens suddenly stop cheering and recede into the ground. Ixcano disappears back over the horizon. The Panzark also collapses and recedes into the ground. Jake is left withered and aged, lying on the ground."
1203,Jake says What's going on? Where's that Ixcano jerk?
1204,Warren Ampersand says I have a confession. There is no Ixcano. I made it all up.
1205,Jake says So... you're not really dying?
1206,"Warren Ampersand says No, I was dying. I needed to siphon your precious stretchy essence to keep me young and virile. I use these belts as a conduit. The more you stretch, the stronger I grow! I've done it hundreds of times, to hundreds of sons. He demonstrates by stretching his palm to show himself draining energy from a set of other figures. But I never felt guilty before. Maybe it's because you're so much cooler than my other kids."
1207,"Jake says Well, I am cool."
1208,"Warren Ampersand says Or maybe it's this feeling your kind calls... low-key affection? I- I low-key affection you, son. He kisses Jake on the head."
1209,"Jake says I'm sorry, Dad. Begins crying I wasn't powerful enough to destroy Ixcano! Sobbing"
1210,Warren Ampersand says What? No. It was just me stretching the whole time. The Panzark. The people.
1211,Jake says You're just saying that to make me feel better.
1212,"Warren Ampersand says I'll prove it. He shapeshifts to resemble Finn. ""I'm Finn! I like pizza and dangerous girls."" And here's Joshua! He extends a new appendage and shapeshifts it to resemble Joshua. ""I'm no Warren Ampersand, but I guess I raised you."""
1213,Jake says Chuckles Do more!
1214,"Warren Ampersand says Creates Lady Rainicorn. ""I'm Lady! Neigh."" Oh, I know. You like parties! Creates a bunch of party bears. Here's a bunch of party bears!"
1215,Jake says Laughs Make more party bears! And make the tree house! Put party bears on the tree house! Put party bears in the sky!
1216,Warren Ampersand says Chuckles weakly Okay.
1217,"Warren fulfils each of Jake's requests as he lists them. He begins to noticeably age, while Jake is slowly restored."
1218,"Jake says Keep stretching, you old phoney. It only makes me stronger! He stands up, revealing that he has switched the belts."
1219,Warren Ampersand says Belt switch! But how?!
1220,"Jake says Old-fashioned grifting, ya rube!"
1221,"In a flashback, Jake is shown switching the belts while Warren was distracted by his crying. The flashback ends."
1222,Jake says My real dad taught me that trick.
1223,Warren Ampersand says But I was a proud pop!
1224,Jake says I'm the proud pop of a whole bunch of pups. The belt totally applies to me as well. He shapeshifts to look like a photograph of his children. See?
1225,Warren Ampersand says Five stretchy pups.
1226,Jake says Whuh-oh.
1227,"Warren Ampersand says You saved me after all! He tries to open a portal, but he doesn't have the energy. Out of juice. I need those pups!"
1228,Jake says Don't even think about it!
1229,"Warren boards a tiny rocket ship. The whole of Nerraw is sucked up into the ship, leaving behind only a barren asteroid, the clown cake, and some cocktail sausages."
1230,Warren Ampersand says Can't wait to meet my grandkids and drain their essence. The rocket takes off.
1231,"Jake says Aw, nah! He grabs the rocket out of the sky. Leave my kids alone! He moves the rocket towards the black hole."
1232,"Warren Ampersand says If you destroy me, you'll be stuck on that rock forever!"
1233,Jake says My pups are worth it! He throws the rocket into the black hole.
1234,"Warren Ampersand says Not the singularity! I just wanted to live forever! He leaps out of the rocket as it gets spaghettified and looks at the black hole below him. I see now. This fleshy form has taken me as far as it can. I'm going 4-D, baby. He is spaghettified."
1235,"Jake says Bye, Warren Ampersand. Thanks for reminding me what it means to be a good dad He reverts to his normal yellow color. by being the worst dad ever. Never even got a pretzel."
1236,The episode opens with Finn carrying two plastic bags full of eggs towards the Tree Fort.
1237,"Finn says Grunts as he opens the door with his foot, then opens the fridge with his foot and begins pouring in the eggs. Boiled eggs. In the fridge."
1238,Jermaine is sat at the table. He clears his throat. Finn bangs his head on the fridge door and scatters boiled eggs over the floor.
1239,Finn says Jake! You're back! I've missed you so mu- Oh.
1240,"Jermaine says Uh, hi Finn. It's just me."
1241,Finn says Jermaine! You and Jake both have sort of a grapefruit nature to you.
1242,Jermaine says I came to your playhouse because I'm worried about Jake.
1243,"Finn says Don't worry, he's fine. He left a note."
1244,"Finn holds up Jake's note. It reads ""BRB - Jake""."
1245,Jermaine says How long ago did he leave that?
1246,"Finn says Uh, I dunno. Maybe five weeks?"
1247,"Jermaine says Groans and exhales sharply Whoo. Finn, you know you can call me if you're in trouble, right? Our brother's missing, and I come here finding you doing a lazy man's load with a hundred boiled eggs."
1248,Finn says It's all they have at the store.
1249,"Jermaine says Sits on the floor I'm just worried, 'cause I had a dream about Jake - a vision."
1250,"A representation of Jermaine's vision is shown. A tiny Jake is shown on top of Jermaine's head. He is in space, emaciated and alone."
1251,"Jermaine says I think he's all alone in outer space. I don't think he can come home, and he's running out of birthday cake and cocktail hot dogs."
1252,Jake falls onto his side and the vision ends.
1253,Finn says Jake's in space?!
1254,Jermaine says Brushing something off his head I know! It's chilling.
1255,"Finn says Hmm. Oh! So, this cosmic stuff, planets and space... He begins writing a note. A pen lid in his mouth muffles his speech. This is Normal Man-type subjects. He spits out the lid and slaps the note onto the fridge alongside Jake's. It reads ""BRB - Finn"". We're going to Mars!"
1256,"Jermaine says Mars?! Grunts and gets up. Is it too much to hope that ""Mars"" is the name of some bookstore you like?"
1257,The scene changes. Finn and Jermaine approach the house where Normal Man used to live.
1258,Jermaine says Is that a boat? I haven't seen a boat in years.
1259,They enter the house. Tiny Manticore is sat on a shelf listening to a cassette player.
1260,"Jermaine says Ah, this is a pretty old house. What's that on the shelf? A little pegasus?"
1261,They continue into the basement.
1262,Jermaine says Into the basement. Sure is lots of broken glass and decay down here. I'll be honest - I was just talking a lot because I'm nervous.
1263,Finn says Grabs the handles of the Martian transporter. I know.
1264,"Finn gestures to Jermaine, and Jermaine climbs onto his chest."
1265,Finn says Whispering Jake.
1266,The transporter whirs to life and sends them both out of the atmosphere in a beam of light. They pass through a cluster of eggs in space and then touch down on Mars. Jermaine screams the entire way.
1267,"Jermaine says Whimpers, panting, coughs, then speaks hoarsely Mars."
1268,Finn and Jermaine walk past some Martians cleaning statues of Margles.
1269,Finn says Dang. Looking real prosperous around here.
1270,"Jermaine says Who's the statues, do you think?"
1271,Finn says Maybe Margles? But I've only seen a photo of her. Wait! Betty?
1272,Betty is standing by a pile of sand and a huge hole. She uses a pair of tweezers to drop a grain of sand into the hole.
1273,"Betty says Oh, Finn. Uh, how is-"
1274,"Finn says I haven't seen you, Betty, since you double-crossed everyone."
1275,Betty says I-
1276,Finn says Ya slopped up!
1277,King Man says Finn! Empathy! He climbs out from the pile of sand.
1278,Finn says Normal Man.
1279,"King Man says Nay! King Man! Bows and then puts his hand on Finn's shoulder. Finn, Betty is tormented. Just look at her."
1280,Finn says Oh.
1281,Betty says I'm trying to get better. I'm filling this hole with sand - grain by grain. She drops another grain into the hole.
1282,King Man says We're going to cure Betty's obsession with the Ice King and the magical madness inflicted upon her.
1283,Betty says Glitches out. G-G-G-G-Gah
1284,"Finn says If you inflicted it on her, shouldn't you be filling the hole?"
1285,"King Man says Empathy, Finn. He noogies Finn."
1286,Finn says Aah!
1287,"The scene changes. Finn, Jermaine, King Man, and Betty are walking down a canyon towards a large entranceway."
1288,"King Man says Okay, so, Jake's in space."
1289,Jermaine says Yeah.
1290,King Man says And you don't know where in space.
1291,Jermaine says Yeah.
1292,"King Man says And you don't know where in space, even though literally every single place in this dimension is air quotes ""in space""."
1293,"Jermaine says Again, yeah."
1294,"King Man says You are a real cutie. Okay, here we are. To locate Jake, you will need to retrieve our space telemetry capsule - deep within Mars at the end of a deadly three-part mind maze."
1295,Jermaine says Whimpers
1296,"King Man says Don't fret, cowardly dog. Betty will go with you."
1297,Betty says I... should really get back to my sand.
1298,Finn says Nah. You should come with us.
1299,"King Man says Now, only Martians may enter the maze, so you'll need hats to fool the guard over there."
1300,"Jermaine says Okay, cool. Where are the hats?"
1301,King Man says Space.
1302,"Jermaine says Wha- Aw, come on, man!"
1303,King Man winks and points to a nearby box full of hats.
1304,Jermaine says Groans
1305,"Finn removes his normal hat to put on a Martian one, revealing that his head is shaven."
1306,Jermaine says Eeh!
1307,"Finn says Talking to the guard. Um, Door Man?"
1308,Guard Man says Looking up from his book I'm Guard Man.
1309,"Finn says Well, I am Boy Man."
1310,"Jermaine says Uh, and I'm... Jer Man."
1311,Guard Man says Sure. Looks back down at his book.
1312,"Finn says Whispering to Jermaine ""Jer Man"" was really funny."
1313,"Jermaine says Thanks, Finn."
1314,They enter the maze and the door slams shut. They emerge into a room filled with water and strange frogs. Most of them have heads which resemble Ice King's crown.
1315,"Finn says Hey Jermaine, get a load of these frogs. What do you think's going on with all these frogs, Jermaine? Jermaine?"
1316,Jermaine says What? I don't know.
1317,Finn spots a single frog whose head resembles Fern's hat.
1318,"Finn says Oh, whoa. That one looks different - kinda... special."
1319,The Fern frog's eyes suddenly turn red. It hisses and leaps at Finn.
1320,Finn says Yip! He ducks the frog.
1321,Fern frog says Remember!
1322,The frog falls into the water and out of sight.
1323,Finn says Whew!
1324,Betty says Finn!
1325,"Finn says I'm okay. These guys mean business, though. If you look them in the eyes, they get outraged."
1326,"As Finn is speaking, Betty looks at many of the Ice King frogs, and their eyes turn red."
1327,"Finn says You got all that, Betty? Betty! Hup!"
1328,Finn tackles Betty to the ground and the frogs fly overhead.
1329,Betty says Oh! There's more on this side.
1330,Finn says Growls Hyup!
1331,Finn hoists Betty and Jermaine onto his back and runs to the end of the room as frogs continue to fly at them.
1332,"Betty says Guys, I think I figured out the frog puzzle. Jermaine pulls her hat over her mouth, and her speech is muffled. It's really quite simple."
1333,"They arrive at a structure made of ice where there is a blackboard full of mathematical symbols, and the Ice Thing is perched above."
1334,"Betty says I found the next challenge! I think maybe if I solve this equation, we'll be able to pass through to the next chamber."
1335,"Finn says And if we mess up, that guy pecks our tummies open, right? He gestures at the Ice Thing."
1336,"Betty says No. See, the work is already full of errors. I just need to correct them."
1337,"Jermaine says Um, I'm not trying to complain or anything, but none of these puzzles have anything... to do with... me."
1338,Betty says Speaking over Jermaine Look see? This quadrinomial has been improperly factored. He forgot to double cube root the bottom partial nominator. She magically produces a piece of icy chalk and corrects the error on the blackboard. There we go. I'll have us out of here in no time.
1339,"Finn says Well, just let me know if you need any help - with anything besides these maths problems."
1340,"Betty says Muttering to herself X plus square, hypotenuse cubed plus Y minus three... Muttering continues."
1341,Finn spots the error she corrected reverting back to its erroneous form.
1342,Finn says Gasps
1343,Ice Thing says Chuckles
1344,Finn says Hey! He's jukin' the stats!
1345,Betty says What?
1346,Finn says He's changing the dang numbers around!
1347,Betty says He's changing. Oh no.
1348,"Finn says Climbing towards the Ice Thing Come on, Jermaine!"
1349,Jermaine says Up there? You're gonna break your neck!
1350,Ice Thing says Laughs and takes off.
1351,Finn says Hey!
1352,"The ice structure snaps and Finn falls through the blackboard, screaming. It shatters and Finn, Jermaine, and Betty are transported to a white void."
1353,"Finn says Groans and rubs his head If anyone else feels like solving any of these puzzles, just jump right in, you know?"
1354,Jermaine says Hey! Over here! I hear something.
1355,They approach a window which looks into a room where a past version of Betty is speaking to someone on the phone.
1356,Past Betty says ...if you water them once a week they'll totally be fine. No! I know! Six months studying ancient petroglyphs in the Outback?! Squeals I can't believe it! Her conversation continues indistinctly in the background.
1357,Betty says That's me.
1358,Jermaine says Uh-doy!
1359,Finn says You looks so happy. And sane.
1360,"Betty says Sighs I was. But I never took that trip. I met Simon the next day, and he was just so amazing. I put everything on hold to help him search for the Enchiridion."
1361,"Jermaine says Listen, Betty, I may not be a psychiatrist or a life coach, or even know what you're talking about, but maybe you should try focusing on yourself a little more, you know?"
1362,"Betty says Can I though? I spent so much time dedicated to Simon I'm not sure there's even any ""me"" left anymore."
1363,"Past Betty says Good point, Future Betty! Maybe it is too late to save you, but with your power and my joie de vivre-ay, maybe the two of us could save Simon together! Think about it."
1364,"Finn says Oh, come on, Betty! Get it together! Even if you are a lost cause, she-"
1365,Jermaine says -Or whatever she represents-
1366,Finn says -is not.
1367,Past Betty says Or am I? Blinks innocently
1368,"Betty says No, Finn's right. You'll thank me for this later, Past Betty."
1369,"She magically changes the date on Past Betty's plane ticket so that it says ""today"" instead of ""next week""."
1370,Past Betty says Hmph.
1371,The room dissolves into static and then returns with Past Betty preparing to leave for her trip.
1372,"Past Betty says Speaking on the phone And don't forget to water my plants. Okay, got to go! My flight leaves in an hour!"
1373,"She hangs up, and the room dissipates. There is a pop, and confetti falls from above into the white void."
1374,"Finn says Good job, Betty."
1375,"Betty says Thanks, Finn. Sorry I couldn't be more help. I was a little preoccupied."
1376,Jermaine says Oh really?
1377,"Finn says Anyway, where's the space thingy? Chanting Space thingy! Space thingy!"
1378,Jake says Space what-y?
1379,Finn and Jermaine says Jake!
1380,Jake says Hey everybody.
1381,"Finn says Hey, long time no see, brudda! Scratches Jake's head."
1382,"Jake says Laughs Hey, what's with the hair, brudda?"
1383,"Finn says Man, you're lucky you missed it. I had lice crazy-bad! I think I got them from Marceline, who got them from Ice King."
1384,"While Finn is talking, Jermaine, in horror, flashes back to all the times throughout the day where he has touched Finn's head."
1385,Jake says Laughs Nice.
1386,"Finn says Anyway, how'd you even get here?"
1387,Jermaine says Eugggh! Drops the hats he is holding.
1388,"Jake says Beats me. I was just eating a sausage on some stupid planet, then all of a sudden there was a beautiful rainbow explosion and a loud noise - sort of like a space telemetry capsule activating. Then here I was, standing next to this Mars door."
1389,"An opening has appeared in the void, and King Man is standing on the other side of it, back in the canyon where they began. King Man blows a party horn as Finn, Jake, Betty, and Jermaine exit the maze."
1390,"King Man says Congratulations, everybody. Now, who's ready for a nice boiled egg?"
1391,Finn says Me!
1392,Jake says Me!
1393,Jermaine says Wait a minute. What even happened in there? Where's the telemetry capsule?
1394,"King Man says Don't you see, Jermaine? You were inside the capsule all along, learning valuable lessons while you programmed its Jake-extracting telemetry with your minds."
1395,Jermaine says Of course.
1396,"King Man says And you, Betty - finally you've learned that most pressing of lessons - that sometimes, for our own good, we must accept the loss of that which we hold most dear."
1397,Betty says Imitates a buzzer I've learned that I just got to work even harder to get it back.
1398,King Man says What?!
1399,"Betty says Like, did you see Finn in there? He was indomitable!"
1400,King Man says Yeah I guess but-
1401,"Betty says So as I stared into that endless white void, I came up with a plan."
1402,King Man says A plan?
1403,"Betty says For me, to save my Simon, and for you, we fade to black and an image of GOLB fades into view to finally pull Margles GOLB then turns to the viewer as our view accelerates towards its mouth back from the maw of GOLB."
1404,King Man says Gulps Marg-
1405,The episode opens with Princess Bubblegum flying the Morrow over Gumbaldia. Starchy is hanging from the underside of the Morrow with a camera.
1406,"Princess Bubblegum says Okay, Starchy. Now!"
1407,Starchy says I'm on it! Do I - Do I just pull this lever? A roll of film is ejected out the back of the camera. No! He pulls out some replacement film and closes the camera again. I'm on it.
1408,"Starchy begins to photograph the city. The photographs show weapons and military parades. Scene changes to a darkroom in the Candy Kingdom, where Princess Bubblegum is developing the photographs."
1409,Princess Bubblegum says Excellent. These photos will help us find out what sort of forces Gumbald has amassed before we mobilize our troops.
1410,"Colonel Candy Corn says What's that, dear?"
1411,Princess Bubblegum says These photos will help us find out - She is interrupted by Colonel Candy Corn.
1412,Colonel Candy Corn says I'm glad there's going to be another proper war before I kick the bucket. Wipe 'em out!
1413,"Princess Bubblegum nods. Suddenly, Finn opens the door to the darkroom."
1414,"Finn says Hey, Princess."
1415,Princess Bubblegum gasps. The light causes the photograph she's working on to fade.
1416,"Princess Bubblegum says Finn, you donked up my recon!"
1417,Finn says I've got some important stuff to say. He inhales deeply. I don't think going to war with your uncle is a good idea.
1418,"Princess Bubblegum says I don't have any choice. By building an army, he's forcing my hand."
1419,Finn says It seems to me that all these rhubarbs down through history don't do nobody no good.
1420,"Princess Bubblegum says Throwing away the ruined photograph as well as her gloves and apron Finn, we all love how sweet you are, but sometimes we just have to buckle down and do things the ugly way. Excuse me. She exits."
1421,"Colonel Candy Corn says It's gonna happen, son. Best thing to do is sharpen your sword and stock up on flower wreaths. He exits."
1422,"Finn says You're dark, Colonel Candy Corn."
1423,Finn follows Colonel Candy Corn out of the darkroom. Jake is waiting on a couch just outside.
1424,Jake says How'd it go?
1425,Finn says No good. PB is on the road to war.
